Year,Quarter,Time,Region,Species,Type,Low,High,Average
2000,Q3,2000 Q3,Statewide,Hardwood,Mixed Hardwood Sawtimber,16.46,22.97,19.77
2000,Q4,2000 Q4,Statewide,Hardwood,Mixed Hardwood Sawtimber,18.63,28.69,23.66
2001,Q1,2001 Q1,Statewide,Hardwood,Mixed Hardwood Sawtimber,14.06,22.74,18.4
2001,Q2,2001 Q2,Statewide,Hardwood,Mixed Hardwood Sawtimber,15.89,29.37,22.63
2001,Q3,2001 Q3,Statewide,Hardwood,Mixed Hardwood Sawtimber,14.97,27.31,21.14
2001,Q4,2001 Q4,Statewide,Hardwood,Mixed Hardwood Sawtimber,17.14,25.71,21.49
2002,Q1,2002 Q1,Statewide,Hardwood,Mixed Hardwood Sawtimber,17.14,26.63,21.94
2002,Q2,2002 Q2,Statewide,Hardwood,Mixed Hardwood Sawtimber,15.77,24.8,20.23
2002,Q3,2002 Q3,Statewide,Hardwood,Mixed Hardwood Sawtimber,17.14,25.71,21.37
2002,Q4,2002 Q4,Statewide,Hardwood,Mixed Hardwood Sawtimber,17.26,25.83,21.49
2003,Q1,2003 Q1,Statewide,Hardwood,Mixed Hardwood Sawtimber,18.41,25.39,21.9
2003,Q2,2003 Q2,Statewide,Hardwood,Mixed Hardwood Sawtimber,17.31,28.54,22.93
2003,Q3,2003 Q3,Statewide,Hardwood,Mixed Hardwood Sawtimber,15.92,23.21,19.56
2003,Q4,2003 Q4,Statewide,Hardwood,Mixed Hardwood Sawtimber,20.62,27.49,24.05
2004,Q1,2004 Q1,Statewide,Hardwood,Mixed Hardwood Sawtimber,12.34,28.88,20.61
2004,Q2,2004 Q2,Statewide,Hardwood,Mixed Hardwood Sawtimber,17.28,27.67,22.47
2004,Q3,2004 Q3,Statewide,Hardwood,Mixed Hardwood Sawtimber,17.51,31.27,24.39
2004,Q4,2004 Q4,Statewide,Hardwood,Mixed Hardwood Sawtimber,17.05,29.13,23.09
2005,Q1,2005 Q1,Statewide,Hardwood,Mixed Hardwood Sawtimber,18.16,29.13,23.64
2005,Q2,2005 Q2,Statewide,Hardwood,Mixed Hardwood Sawtimber,16.36,28.66,22.51
2005,Q3,2005 Q3,Statewide,Hardwood,Mixed Hardwood Sawtimber,18.67,28.72,23.69
2005,Q4,2005 Q4,Statewide,Hardwood,Mixed Hardwood Sawtimber,18.34,27.94,23.14
2006,Q1,2006 Q1,Statewide,Hardwood,Mixed Hardwood Sawtimber,20.86,31.59,26.22
2006,Q2,2006 Q2,Statewide,Hardwood,Mixed Hardwood Sawtimber,18.13,28.28,23.2
2006,Q3,2006 Q3,Statewide,Hardwood,Mixed Hardwood Sawtimber,16.98,26.05,21.51
2006,Q4,2006 Q4,Statewide,Hardwood,Mixed Hardwood Sawtimber,20.28,30.94,25.61
2007,Q1,2007 Q1,Statewide,Hardwood,Mixed Hardwood Sawtimber,22.25,30.41,26.33
2007,Q2,2007 Q2,Statewide,Hardwood,Mixed Hardwood Sawtimber,19.56,28.11,23.83
2007,Q3,2007 Q3,Statewide,Hardwood,Mixed Hardwood Sawtimber,23.95,29.41,26.68
2007,Q4,2007 Q4,Statewide,Hardwood,Mixed Hardwood Sawtimber,17.86,26.24,22.05
2008,Q1,2008 Q1,Statewide,Hardwood,Mixed Hardwood Sawtimber,19.11,27.43,23.27
2008,Q2,2008 Q2,Statewide,Hardwood,Mixed Hardwood Sawtimber,21.64,33.57,27.61
2008,Q3,2008 Q3,Statewide,Hardwood,Mixed Hardwood Sawtimber,27.43,38.67,33.05
2008,Q4,2008 Q4,Statewide,Hardwood,Mixed Hardwood Sawtimber,28.91,37.32,33.11
2009,Q1,2009 Q1,Statewide,Hardwood,Mixed Hardwood Sawtimber,20.75,31.7,26.23
2009,Q2,2009 Q2,Statewide,Hardwood,Mixed Hardwood Sawtimber,20.59,29.92,25.25
2009,Q3,2009 Q3,Statewide,Hardwood,Mixed Hardwood Sawtimber,19.98,27.07,23.52
2009,Q4,2009 Q4,Statewide,Hardwood,Mixed Hardwood Sawtimber,19.81,30.28,25.05
2010,Q1,2010 Q1,Statewide,Hardwood,Mixed Hardwood Sawtimber,22.35,34.72,28.54
2010,Q2,2010 Q2,Statewide,Hardwood,Mixed Hardwood Sawtimber,24.82,37.73,31.28
2010,Q3,2010 Q3,Statewide,Hardwood,Mixed Hardwood Sawtimber,24.36,34.93,29.65
2010,Q4,2010 Q4,Statewide,Hardwood,Mixed Hardwood Sawtimber,24.53,34.53,29.53
2011,Q1,2011 Q1,Statewide,Hardwood,Mixed Hardwood Sawtimber,22.27,31.21,26.74
2011,Q2,2011 Q2,Statewide,Hardwood,Mixed Hardwood Sawtimber,26.57,34.89,30.73
2011,Q3,2011 Q3,Statewide,Hardwood,Mixed Hardwood Sawtimber,25.27,33.32,29.3
2011,Q4,2011 Q4,Statewide,Hardwood,Mixed Hardwood Sawtimber,21.96,33.24,27.6
2012,Q1,2012 Q1,Statewide,Hardwood,Mixed Hardwood Sawtimber,19.73,31.23,25.48
2012,Q2,2012 Q2,Statewide,Hardwood,Mixed Hardwood Sawtimber,23.35,32.49,27.92
2012,Q3,2012 Q3,Statewide,Hardwood,Mixed Hardwood Sawtimber,22.72,35.83,29.27
2012,Q4,2012 Q4,Statewide,Hardwood,Mixed Hardwood Sawtimber,23.07,34.42,28.75
2013,Q1,2013 Q1,Statewide,Hardwood,Mixed Hardwood Sawtimber,24.42,37.05,30.74
2013,Q2,2013 Q2,Statewide,Hardwood,Mixed Hardwood Sawtimber,25.72,36.17,30.95
2013,Q2,2013 Q2,Statewide,Hardwood,Mixed Hardwood Sawtimber,29.31,39.55,34.43
2013,Q4,2013 Q4,Statewide,Hardwood,Mixed Hardwood Sawtimber,31.08,40.77,35.93
2014,Q1,2014 Q1,Statewide,Hardwood,Mixed Hardwood Sawtimber,30.08,38.76,34.42
2014,Q2,2014 Q2,Statewide,Hardwood,Mixed Hardwood Sawtimber,31.48,41.97,36.73
2014,Q3,2014 Q3,Statewide,Hardwood,Mixed Hardwood Sawtimber,32.16,45.04,38.6
2014,Q4,2014 Q4,Statewide,Hardwood,Mixed Hardwood Sawtimber,40.25,39.19,39.72
2015,Q1,2015 Q1,Statewide,Hardwood,Mixed Hardwood Sawtimber,26.92,42.49,34.71
2015,Q2,2015 Q2,Statewide,Hardwood,Mixed Hardwood Sawtimber,32.87,32.3,32.59
2015,Q3,2015 Q3,Statewide,Hardwood,Mixed Hardwood Sawtimber,32.81,34.03,33.42
2015,Q4,2015 Q4,Statewide,Hardwood,Mixed Hardwood Sawtimber,37.12,32.2,34.66
2016,Q1,2016 Q1,Statewide,Hardwood,Mixed Hardwood Sawtimber,36.67,41.62,39.15
2016,Q2,2016 Q2,Statewide,Hardwood,Mixed Hardwood Sawtimber,NA,NA,42.15
2016,Q3,2016 Q3,Statewide,Hardwood,Mixed Hardwood Sawtimber,NA,NA,43.44
2016,Q4,2016 Q4,Statewide,Hardwood,Mixed Hardwood Sawtimber,NA,NA,40.76
2017,Q1,2017 Q1,Statewide,Hardwood,Mixed Hardwood Sawtimber,NA,NA,38.57
2017,Q2,2017 Q2,Statewide,Hardwood,Mixed Hardwood Sawtimber,NA,NA,38.7
2017,Q3,2017 Q3,Statewide,Hardwood,Mixed Hardwood Sawtimber,NA,NA,40.53
2017,Q4,2017 Q4,Statewide,Hardwood,Mixed Hardwood Sawtimber,NA,NA,38.89
2018,Q1,2018 Q1,Statewide,Hardwood,Mixed Hardwood Sawtimber,17,52,33.45
2018,Q2,2018 Q2,Statewide,Hardwood,Mixed Hardwood Sawtimber,18,44,34.27
2018,Q3,2018 Q3,Statewide,Hardwood,Mixed Hardwood Sawtimber,17,45,32.64
2018,Q4,2018 Q4,Statewide,Hardwood,Mixed Hardwood Sawtimber,25,55,36.77
2019,Q1,2019 Q1,Statewide,Hardwood,Mixed Hardwood Sawtimber,17,58,36.41
2019,Q2,2019 Q2,Statewide,Hardwood,Mixed Hardwood Sawtimber,29.15,40,35.07
2019,Q3,2019 Q3,Statewide,Hardwood,Mixed Hardwood Sawtimber,5,54.45,33.03
2019,Q4,2019 Q4,Statewide,Hardwood,Mixed Hardwood Sawtimber,19.5,50,35.17
2020,Q1,2020 Q1,Statewide,Hardwood,Mixed Hardwood Sawtimber,21.6,40,33.83
2020,Q2,2020 Q2,Statewide,Hardwood,Mixed Hardwood Sawtimber,20,62.13,37.61
2020,Q3,2020 Q3,Statewide,Hardwood,Mixed Hardwood Sawtimber,12,40,25.2
2020,Q4,2020 Q4,Statewide,Hardwood,Mixed Hardwood Sawtimber,7.21,50,26.65
2021,Q1,2021 Q1,Statewide,Hardwood,Mixed Hardwood Sawtimber,12.45,40.61,24.8
2021,Q2,2021 Q2,Statewide,Hardwood,Mixed Hardwood Sawtimber,11.11,50,29.72
2021,Q3,2021 Q3,Statewide,Hardwood,Mixed Hardwood Sawtimber,15,48,30.17
2021,Q4,2021 Q4,Statewide,Hardwood,Mixed Hardwood Sawtimber,15,50,30.22
2022,Q1,2022 Q1,Statewide,Hardwood,Mixed Hardwood Sawtimber,15,45,32
2022,Q2,2022 Q2,Statewide,Hardwood,Mixed Hardwood Sawtimber,17,45,32.15
2022,Q3,2022 Q3,Statewide,Hardwood,Mixed Hardwood Sawtimber,15,45,28.47
2022,Q4,2022 Q4,Statewide,Hardwood,Mixed Hardwood Sawtimber,15,45,26.67
2023,Q1,2023 Q1,Statewide,Hardwood,Mixed Hardwood Sawtimber,31.36,41.7,36.53
2023,Q2,2023 Q2,Statewide,Hardwood,Mixed Hardwood Sawtimber,29.25,41.81,35.53
2023,Q3,2023 Q3,Statewide,Hardwood,Mixed Hardwood Sawtimber,31.54,42.76,37.15
2023,Q4,2023 Q4,Statewide,Hardwood,Mixed Hardwood Sawtimber,32.87,43.47,38.17
2024,Q1,2024 Q1,Statewide,Hardwood,Mixed Hardwood Sawtimber,15,41.55,29.34
2024,Q2,2024 Q2,Statewide,Hardwood,Mixed Hardwood Sawtimber,15,44,28.96
2024,Q3,2024 Q3,Statewide,Hardwood,Mixed Hardwood Sawtimber,18,45,32.19
2024,Q4,2024 Q4,Statewide,Hardwood,Mixed Hardwood Sawtimber,NA,NA,NA
1976,Q4,1976 Q4,Statewide,Hardwood,Hardwood Pulpwood,0.63,1.87,1.25
1977,Q1,1977 Q1,Statewide,Hardwood,Hardwood Pulpwood,0.61,1.72,1.09
1977,Q2,1977 Q2,Statewide,Hardwood,Hardwood Pulpwood,0.86,1.97,1.38
1977,Q3,1977 Q3,Statewide,Hardwood,Hardwood Pulpwood,0.86,1.97,1.38
1977,Q4,1977 Q4,Statewide,Hardwood,Hardwood Pulpwood,0.86,1.8,1.3
1978,Q1,1978 Q1,Statewide,Hardwood,Hardwood Pulpwood,0.86,1.72,1.27
1978,Q2,1978 Q2,Statewide,Hardwood,Hardwood Pulpwood,0.86,1.72,1.29
1978,Q3,1978 Q3,Statewide,Hardwood,Hardwood Pulpwood,0.86,1.72,1.29
1978,Q4,1978 Q4,Statewide,Hardwood,Hardwood Pulpwood,0.86,1.72,1.29
1979,Q1,1979 Q1,Statewide,Hardwood,Hardwood Pulpwood,0.86,1.72,1.29
1979,Q2,1979 Q2,Statewide,Hardwood,Hardwood Pulpwood,0.86,1.72,1.29
1979,Q3,1979 Q3,Statewide,Hardwood,Hardwood Pulpwood,0.86,1.72,1.29
1979,Q4,1979 Q4,Statewide,Hardwood,Hardwood Pulpwood,0.86,1.72,1.29
1980,Q1,1980 Q1,Statewide,Hardwood,Hardwood Pulpwood,0.86,1.72,1.29
1980,Q2,1980 Q2,Statewide,Hardwood,Hardwood Pulpwood,0.86,1.72,1.29
1980,Q3,1980 Q3,Statewide,Hardwood,Hardwood Pulpwood,0.86,1.72,1.29
1980,Q4,1980 Q4,Statewide,Hardwood,Hardwood Pulpwood,0.86,1.72,1.29
1981,Q1,1981 Q1,Statewide,Hardwood,Hardwood Pulpwood,0.86,1.72,1.29
1981,Q2,1981 Q2,Statewide,Hardwood,Hardwood Pulpwood,0.86,1.72,1.29
1981,Q3,1981 Q3,Statewide,Hardwood,Hardwood Pulpwood,0.86,1.72,1.29
1981,Q4,1981 Q4,Statewide,Hardwood,Hardwood Pulpwood,0.86,1.72,1.29
1982,Q1,1982 Q1,Statewide,Hardwood,Hardwood Pulpwood,0.86,1.72,1.29
1982,Q2,1982 Q2,Statewide,Hardwood,Hardwood Pulpwood,0.86,1.72,1.29
1982,Q3,1982 Q3,Statewide,Hardwood,Hardwood Pulpwood,0.86,1.72,1.29
1982,Q4,1982 Q4,Statewide,Hardwood,Hardwood Pulpwood,0.86,1.72,1.29
1983,Q1,1983 Q1,Statewide,Hardwood,Hardwood Pulpwood,0.86,1.72,1.29
1983,Q2,1983 Q2,Statewide,Hardwood,Hardwood Pulpwood,1.01,1.9,1.38
1983,Q3,1983 Q3,Statewide,Hardwood,Hardwood Pulpwood,0.95,1.9,1.38
1983,Q4,1983 Q4,Statewide,Hardwood,Hardwood Pulpwood,0.95,1.9,1.38
1984,Q1,1984 Q1,Statewide,Hardwood,Hardwood Pulpwood,0.95,1.9,1.38
1984,Q2,1984 Q2,Statewide,Hardwood,Hardwood Pulpwood,1.29,1.98,1.72
1984,Q3,1984 Q3,Statewide,Hardwood,Hardwood Pulpwood,1.29,1.98,1.72
1984,Q4,1984 Q4,Statewide,Hardwood,Hardwood Pulpwood,1.26,1.93,1.64
1985,Q1,1985 Q1,Statewide,Hardwood,Hardwood Pulpwood,1.21,1.81,1.47
1985,Q2,1985 Q2,Statewide,Hardwood,Hardwood Pulpwood,1.09,1.67,1.35
1985,Q3,1985 Q3,Statewide,Hardwood,Hardwood Pulpwood,0.86,1.38,1.12
1985,Q4,1985 Q4,Statewide,Hardwood,Hardwood Pulpwood,0.86,1.38,1.12
1986,Q1,1986 Q1,Statewide,Hardwood,Hardwood Pulpwood,0.86,1.38,1.12
1986,Q2,1986 Q2,Statewide,Hardwood,Hardwood Pulpwood,0.75,1.38,1.06
1986,Q3,1986 Q3,Statewide,Hardwood,Hardwood Pulpwood,0.66,1.03,0.86
1986,Q4,1986 Q4,Statewide,Hardwood,Hardwood Pulpwood,0.67,1.33,0.85
1987,Q1,1987 Q1,Statewide,Hardwood,Hardwood Pulpwood,1.41,2.06,1.7
1987,Q2,1987 Q2,Statewide,Hardwood,Hardwood Pulpwood,1.03,1.83,1.31
1987,Q3,1987 Q3,Statewide,Hardwood,Hardwood Pulpwood,1.17,1.91,1.47
1987,Q4,1987 Q4,Statewide,Hardwood,Hardwood Pulpwood,1.45,2.26,1.84
1988,Q1,1988 Q1,Statewide,Hardwood,Hardwood Pulpwood,1.38,2.41,1.89
1988,Q2,1988 Q2,Statewide,Hardwood,Hardwood Pulpwood,1.38,2.07,1.55
1988,Q3,1988 Q3,Statewide,Hardwood,Hardwood Pulpwood,1.38,2.07,1.72
1988,Q4,1988 Q4,Statewide,Hardwood,Hardwood Pulpwood,1.38,2.41,1.88
1989,Q1,1989 Q1,Statewide,Hardwood,Hardwood Pulpwood,1.72,3.1,2.29
1989,Q2,1989 Q2,Statewide,Hardwood,Hardwood Pulpwood,1.72,3.1,2.53
1989,Q3,1989 Q3,Statewide,Hardwood,Hardwood Pulpwood,2.07,4.14,3.1
1989,Q4,1989 Q4,Statewide,Hardwood,Hardwood Pulpwood,2.07,3.79,2.99
1990,Q1,1990 Q1,Statewide,Hardwood,Hardwood Pulpwood,1.72,3.1,2.24
1990,Q2,1990 Q2,Statewide,Hardwood,Hardwood Pulpwood,2.07,3.45,2.7
1990,Q3,1990 Q3,Statewide,Hardwood,Hardwood Pulpwood,2.07,3.79,2.82
1990,Q4,1990 Q4,Statewide,Hardwood,Hardwood Pulpwood,1.72,2.76,2.3
1991,Q1,1991 Q1,Statewide,Hardwood,Hardwood Pulpwood,1.72,2.76,2.13
1991,Q2,1991 Q2,Statewide,Hardwood,Hardwood Pulpwood,2.07,2.76,2.36
1991,Q3,1991 Q3,Statewide,Hardwood,Hardwood Pulpwood,2.41,2.76,2.64
1991,Q4,1991 Q4,Statewide,Hardwood,Hardwood Pulpwood,2.07,3.45,2.76
1992,Q1,1992 Q1,Statewide,Hardwood,Hardwood Pulpwood,1.9,2.24,2.07
1992,Q2,1992 Q2,Statewide,Hardwood,Hardwood Pulpwood,2.13,3.16,2.64
1992,Q3,1992 Q3,Statewide,Hardwood,Hardwood Pulpwood,2.94,3.34,3.14
1992,Q4,1992 Q4,Statewide,Hardwood,Hardwood Pulpwood,2.55,4.24,3.4
1993,Q1,1993 Q1,Statewide,Hardwood,Hardwood Pulpwood,3.1,4.74,3.92
1993,Q2,1993 Q2,Statewide,Hardwood,Hardwood Pulpwood,3.3,5.55,4.42
1993,Q3,1993 Q3,Statewide,Hardwood,Hardwood Pulpwood,3.28,3.79,3.53
1993,Q4,1993 Q4,Statewide,Hardwood,Hardwood Pulpwood,4.07,5.24,4.66
1994,Q1,1994 Q1,Statewide,Hardwood,Hardwood Pulpwood,3.79,5.4,4.6
1994,Q2,1994 Q2,Statewide,Hardwood,Hardwood Pulpwood,3.47,4.53,4
1994,Q3,1994 Q3,Statewide,Hardwood,Hardwood Pulpwood,2.99,4.4,3.69
1994,Q4,1994 Q4,Statewide,Hardwood,Hardwood Pulpwood,4.11,6.21,5.16
1995,Q1,1995 Q1,Statewide,Hardwood,Hardwood Pulpwood,4.31,5.52,4.91
1995,Q2,1995 Q2,Statewide,Hardwood,Hardwood Pulpwood,5.14,5.82,5.48
1995,Q3,1995 Q3,Statewide,Hardwood,Hardwood Pulpwood,4.57,5.49,5.03
1995,Q4,1995 Q4,Statewide,Hardwood,Hardwood Pulpwood,4.39,6.67,5.53
1996,Q1,1996 Q1,Statewide,Hardwood,Hardwood Pulpwood,4.77,7.28,6.03
1996,Q2,1996 Q2,Statewide,Hardwood,Hardwood Pulpwood,3.32,5.66,4.49
1996,Q3,1996 Q3,Statewide,Hardwood,Hardwood Pulpwood,3.56,7.1,5.33
1996,Q4,1996 Q4,Statewide,Hardwood,Hardwood Pulpwood,3.92,6.28,5.1
1997,Q1,1997 Q1,Statewide,Hardwood,Hardwood Pulpwood,5.04,7.72,6.38
1997,Q2,1997 Q2,Statewide,Hardwood,Hardwood Pulpwood,4.67,8.54,6.61
1997,Q3,1997 Q3,Statewide,Hardwood,Hardwood Pulpwood,4.61,6.76,5.68
1997,Q4,1997 Q4,Statewide,Hardwood,Hardwood Pulpwood,5.82,9.53,7.68
1998,Q1,1998 Q1,Statewide,Hardwood,Hardwood Pulpwood,6.9,11.75,9.32
1998,Q2,1998 Q2,Statewide,Hardwood,Hardwood Pulpwood,4.32,6.91,5.61
1998,Q3,1998 Q3,Statewide,Hardwood,Hardwood Pulpwood,3.53,6.41,4.97
1998,Q4,1998 Q4,Statewide,Hardwood,Hardwood Pulpwood,3.82,6.59,5.21
1999,Q1,1999 Q1,Statewide,Hardwood,Hardwood Pulpwood,3.03,6.15,4.59
1999,Q2,1999 Q2,Statewide,Hardwood,Hardwood Pulpwood,2.69,4.57,3.63
1999,Q3,1999 Q3,Statewide,Hardwood,Hardwood Pulpwood,3.2,5.65,4.43
1999,Q4,1999 Q4,Statewide,Hardwood,Hardwood Pulpwood,3.19,5.48,4.33
2000,Q1,2000 Q1,Statewide,Hardwood,Hardwood Pulpwood,2.73,5.24,3.99
2000,Q2,2000 Q2,Statewide,Hardwood,Hardwood Pulpwood,3.13,4.62,3.88
2000,Q3,2000 Q3,Statewide,Hardwood,Hardwood Pulpwood,2.77,5.14,3.96
2000,Q4,2000 Q4,Statewide,Hardwood,Hardwood Pulpwood,3.09,4.71,3.9
2001,Q1,2001 Q1,Statewide,Hardwood,Hardwood Pulpwood,3.5,5.96,4.72
2001,Q2,2001 Q2,Statewide,Hardwood,Hardwood Pulpwood,4.63,6.53,5.58
2001,Q3,2001 Q3,Statewide,Hardwood,Hardwood Pulpwood,3.81,6.33,5.08
2001,Q4,2001 Q4,Statewide,Hardwood,Hardwood Pulpwood,3.97,6.29,5.13
2002,Q1,2002 Q1,Statewide,Hardwood,Hardwood Pulpwood,4.31,6.7,5.51
2002,Q2,2002 Q2,Statewide,Hardwood,Hardwood Pulpwood,2.94,4.77,3.86
2002,Q3,2002 Q3,Statewide,Hardwood,Hardwood Pulpwood,2.83,5.07,3.95
2002,Q4,2002 Q4,Statewide,Hardwood,Hardwood Pulpwood,3.92,7.34,5.63
2003,Q1,2003 Q1,Statewide,Hardwood,Hardwood Pulpwood,5.72,9.69,7.7
2003,Q2,2003 Q2,Statewide,Hardwood,Hardwood Pulpwood,5.86,8.14,7
2003,Q3,2003 Q3,Statewide,Hardwood,Hardwood Pulpwood,6.86,12.25,9.55
2003,Q4,2003 Q4,Statewide,Hardwood,Hardwood Pulpwood,6.27,10.77,8.52
2004,Q1,2004 Q1,Statewide,Hardwood,Hardwood Pulpwood,5.11,8.81,6.96
2004,Q2,2004 Q2,Statewide,Hardwood,Hardwood Pulpwood,3.09,5.56,4.32
2004,Q3,2004 Q3,Statewide,Hardwood,Hardwood Pulpwood,4.24,8.32,6.28
2004,Q4,2004 Q4,Statewide,Hardwood,Hardwood Pulpwood,4.31,7.57,5.94
2005,Q1,2005 Q1,Statewide,Hardwood,Hardwood Pulpwood,4.91,7.81,6.36
2005,Q2,2005 Q2,Statewide,Hardwood,Hardwood Pulpwood,6.33,10.7,8.52
2005,Q3,2005 Q3,Statewide,Hardwood,Hardwood Pulpwood,5.81,8.46,7.14
2005,Q4,2005 Q4,Statewide,Hardwood,Hardwood Pulpwood,4.77,7.31,6.04
2006,Q1,2006 Q1,Statewide,Hardwood,Hardwood Pulpwood,4.66,9.05,6.85
2006,Q2,2006 Q2,Statewide,Hardwood,Hardwood Pulpwood,3.89,7.04,5.46
2006,Q3,2006 Q3,Statewide,Hardwood,Hardwood Pulpwood,3.11,5.62,4.36
2006,Q4,2006 Q4,Statewide,Hardwood,Hardwood Pulpwood,3.7,6.14,4.92
2007,Q1,2007 Q1,Statewide,Hardwood,Hardwood Pulpwood,4.84,7.81,6.32
2007,Q2,2007 Q2,Statewide,Hardwood,Hardwood Pulpwood,3.91,6.73,5.32
2007,Q3,2007 Q3,Statewide,Hardwood,Hardwood Pulpwood,3.47,6.66,5.06
2007,Q4,2007 Q4,Statewide,Hardwood,Hardwood Pulpwood,4,6.95,5.47
2008,Q1,2008 Q1,Statewide,Hardwood,Hardwood Pulpwood,4.63,7.95,6.29
2008,Q2,2008 Q2,Statewide,Hardwood,Hardwood Pulpwood,4.73,8.81,6.77
2008,Q3,2008 Q3,Statewide,Hardwood,Hardwood Pulpwood,5.09,9.03,7.06
2008,Q4,2008 Q4,Statewide,Hardwood,Hardwood Pulpwood,7.02,12.75,9.88
2009,Q1,2009 Q1,Statewide,Hardwood,Hardwood Pulpwood,7.07,15.05,11.06
2009,Q2,2009 Q2,Statewide,Hardwood,Hardwood Pulpwood,5.75,9.08,7.41
2009,Q3,2009 Q3,Statewide,Hardwood,Hardwood Pulpwood,6.58,10.21,8.39
2009,Q4,2009 Q4,Statewide,Hardwood,Hardwood Pulpwood,7.55,14.52,11.04
2010,Q1,2010 Q1,Statewide,Hardwood,Hardwood Pulpwood,12.19,23.96,18.07
2010,Q2,2010 Q2,Statewide,Hardwood,Hardwood Pulpwood,7.98,20.19,14.08
2010,Q3,2010 Q3,Statewide,Hardwood,Hardwood Pulpwood,4.73,7.76,6.25
2010,Q4,2010 Q4,Statewide,Hardwood,Hardwood Pulpwood,5.18,8.24,6.71
2011,Q1,2011 Q1,Statewide,Hardwood,Hardwood Pulpwood,4.44,7.86,6.15
2011,Q2,2011 Q2,Statewide,Hardwood,Hardwood Pulpwood,4.62,8.76,6.69
2011,Q3,2011 Q3,Statewide,Hardwood,Hardwood Pulpwood,3.9,6.57,5.24
2011,Q4,2011 Q4,Statewide,Hardwood,Hardwood Pulpwood,3.9,8.43,6.16
2012,Q1,2012 Q1,Statewide,Hardwood,Hardwood Pulpwood,4.69,9.49,7.09
2012,Q2,2012 Q2,Statewide,Hardwood,Hardwood Pulpwood,5.66,12.16,8.91
2012,Q3,2012 Q3,Statewide,Hardwood,Hardwood Pulpwood,6.41,11.66,9.04
2012,Q4,2012 Q4,Statewide,Hardwood,Hardwood Pulpwood,7.36,14.08,10.73
2013,Q1,2013 Q1,Statewide,Hardwood,Hardwood Pulpwood,7.13,14.62,10.88
2013,Q2,2013 Q2,Statewide,Hardwood,Hardwood Pulpwood,7.73,14.78,11.25
2013,Q3,2013 Q3,Statewide,Hardwood,Hardwood Pulpwood,8.56,14.97,11.77
2013,Q4,2013 Q4,Statewide,Hardwood,Hardwood Pulpwood,8.04,14.04,11.04
2014,Q1,2014 Q1,Statewide,Hardwood,Hardwood Pulpwood,7.41,13.52,10.47
2014,Q2,2014 Q2,Statewide,Hardwood,Hardwood Pulpwood,7.29,14.29,10.79
2014,Q3,2014 Q3,Statewide,Hardwood,Hardwood Pulpwood,8.21,13.92,11.07
2014,Q4,2014 Q4,Statewide,Hardwood,Hardwood Pulpwood,11.64,11.25,11.45
2015,Q1,2015 Q1,Statewide,Hardwood,Hardwood Pulpwood,7.67,14.4,11.04
2015,Q2,2015 Q2,Statewide,Hardwood,Hardwood Pulpwood,8.39,9.16,8.78
2015,Q3,2015 Q3,Statewide,Hardwood,Hardwood Pulpwood,7.92,9.57,8.75
2015,Q4,2015 Q4,Statewide,Hardwood,Hardwood Pulpwood,8.04,10.31,9.18
2016,Q1,2016 Q1,Statewide,Hardwood,Hardwood Pulpwood,8.54,10.65,9.6
2016,Q2,2016 Q2,Statewide,Hardwood,Hardwood Pulpwood,NA,NA,9.51
2016,Q3,2016 Q3,Statewide,Hardwood,Hardwood Pulpwood,NA,NA,6.95
2016,Q4,2016 Q4,Statewide,Hardwood,Hardwood Pulpwood,NA,NA,7.43
2017,Q1,2017 Q1,Statewide,Hardwood,Hardwood Pulpwood,NA,NA,6.78
2017,Q2,2017 Q2,Statewide,Hardwood,Hardwood Pulpwood,NA,NA,6.7
2017,Q3,2017 Q3,Statewide,Hardwood,Hardwood Pulpwood,NA,NA,6.72
2017,Q4,2017 Q4,Statewide,Hardwood,Hardwood Pulpwood,NA,NA,7.07
2018,Q1,2018 Q1,Statewide,Hardwood,Hardwood Pulpwood,1.5,15,8.21
2018,Q2,2018 Q2,Statewide,Hardwood,Hardwood Pulpwood,1.75,15,7.66
2018,Q3,2018 Q3,Statewide,Hardwood,Hardwood Pulpwood,3,15,8.1
2018,Q4,2018 Q4,Statewide,Hardwood,Hardwood Pulpwood,3.08,17,8.23
2019,Q1,2019 Q1,Statewide,Hardwood,Hardwood Pulpwood,4,22.17,10.9
2019,Q2,2019 Q2,Statewide,Hardwood,Hardwood Pulpwood,2,15,8.45
2019,Q3,2019 Q3,Statewide,Hardwood,Hardwood Pulpwood,1,13,6.24
2019,Q4,2019 Q4,Statewide,Hardwood,Hardwood Pulpwood,2.02,15,7.3
2020,Q1,2020 Q1,Statewide,Hardwood,Hardwood Pulpwood,1,11,6.67
2020,Q2,2020 Q2,Statewide,Hardwood,Hardwood Pulpwood,1,14,5.88
2020,Q3,2020 Q3,Statewide,Hardwood,Hardwood Pulpwood,1,8,3.87
2020,Q4,2020 Q4,Statewide,Hardwood,Hardwood Pulpwood,0.35,14,5.34
2021,Q1,2021 Q1,Statewide,Hardwood,Hardwood Pulpwood,1,8.5,4.54
2021,Q2,2021 Q2,Statewide,Hardwood,Hardwood Pulpwood,1,13,5.37
2021,Q3,2021 Q3,Statewide,Hardwood,Hardwood Pulpwood,2,14.06,6.55
2021,Q4,2021 Q4,Statewide,Hardwood,Hardwood Pulpwood,1,20,8.03
2022,Q1,2022 Q1,Statewide,Hardwood,Hardwood Pulpwood,2,30,10.92
